,brand,model,screen_size(Inches),cpu,ram(GB),operating_system,rating,price($)
1298,Dell,Dell Precision,17.3,Core i7 Family,16,Windows 10 Pro,5.0,1998.77
1299,Lenovo,Lenovo ThinkPad X1 Yoga I5,14.0,Core i5,8,Windows 10 Pro,5.0,844.65
1306,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1307,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1311,HP,HP14CA000NR,14.0,Celeron,4,Chrome OS,4.5,169.0
1312,Lenovo,20YGS02Q00,15.6,Core i7,8,Windows 10,5.0,799.0
1324,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1325,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1327,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1328,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1331,Dell,Inspiron,14.0,Core i7 Family,32,Windows 11 Home,4.5,880.62
1337,Razer,Blade 17,17.3,Intel Core i9,32,Windows 11,3.7,5599.0
1339,ASUS,ASUS VivoBook Go 14,14.0,Celeron,4,Windows 11 Home S,5.0,432.99
1341,acer,CB315-2H-25TX,15.6,AMD A4,4,Chrome OS,4.3,344.0
1342,MSI,Prestige 14 EVO A11M-221,14.0,Core i5,16,Windows 10,3.6,1025.01
1348,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1349,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1351,Dell,Latitude 7420 Laptop,14.0,Core i7,16,Windows 11 Pro,5.0,879.84
1354,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1355,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1357,Lenovo,ThinkPad X1,14.0,Intel Core i7,16,Windows 10 Pro (64-Bit),3.5,1470.77
1362,acer,Aspire One,14.0,Celeron,4,Windows 10,3.8,275.0
1364,LG,17Z95P-K.AAS9U1,17.0,Core i7 Family,16,Windows 11,4.7,1850.52
1367,Dell,Precision 7770,17.0,Core i7,64,Windows 11 Pro,5.0,3498.77
1371,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1372,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1374,Dell,N8P7J,15.6,Intel Core i5,16,Windows 10 Pro,5.0,890.77
1376,Dell,Alienware X17 R2 Laptop,17.3,Core i9,64,Windows 11 Home,3.4,3273.54
1379,Lenovo,ThinkPad X1 Nano Gen1 Ultrabook,14.0,Intel Core i5-1135G7,16,Windows 10,2.8,1379.99
1380,Lenovo,IdeaPad,14.0,Core i7 Family,16,Windows 11 Pro,3.9,999.0
1386,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1387,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1388,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1392,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1393,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1395,Dell,Dell Xps,13.3,Core i5,8,Windows 10 Home,3.8,999.0
1404,HP,Elitebook 840 G5 Commercial Notebook PC,14.0,Core i7 8550U,16,Windows 10 Pro,4.0,1699.0
1408,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1409,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1411,Lenovo,IdeaPad 3 15IML05,15.6,Unknown,4,Windows 10 Home,2.9,324.86
1415,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1416,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1418,LG,16Z90P-K.AAB7U1,16.0,Core i7 Family,16,Windows 11 Home,4.1,999.0
1419,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1420,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1422,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1423,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1425,Dell,Y68F1,14.0,Intel Core i5,16,Windows 10 Pro,2.0,1899.0
1428,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1429,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1431,Lenovo,TP X140E A4/1.5 11.6 4GB 500GB W7P-W8P64,11.6,AMD A Series,4,Windows 7 Professional,3.6,298.95
1433,MSI,GS76 Stealth 11UE-623,17.3,Core i7,16,Microsoft Windows 10 Professional (64bit),5.0,1989.33
1434,ASUS,Vivobook 15 F512DA,15.6,Ryzen 3 3200U,8,Windows 10 Home,4.3,419.99
1440,Dell,Latitude 5320 Laptop,13.3,Core i5,8,Windows 10 Pro,5.0,740.98
1441,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1442,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1444,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1445,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1448,acer,E5-575,15.6,Core i3,4,Windows 10,3.9,449.99
1449,ASUS,X555QA-CBA12A,15.6,A-Series,8,Windows 10,4.0,399.99
1454,Dell,Dell Inspiron 15 Laptop,15.6,Ryzen 7,64,Windows 11 Home,4.1,971.04
1455,Dell,XPS 9720 Laptop,17.0,Core i7,32,Windows 11 Home,2.6,1589.0
1460,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1461,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1467,acer,SF714-51T-M9H0,14.0,Core i7,8,Windows 10 Home,3.9,1518.88
1468,HP,HP Envy,15.6,Core i7,16,Windows 11 Home,4.6,849.49
1475,Dell,Alienware m15 R4,15.6,Core i7,16,Windows 10 Home,4.4,1598.0
1476,Dell,Dell Latitude,13.3,Core i7,16,Windows 10 Pro,4.2,1239.77
1477,acer,SFX16-52G-73U6,16.0,Core i7,16,Windows 11 Home,4.8,1249.0
1482,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1483,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1485,ASUS,ZenBook Pro Duo,14.0,Core i7-10510U,16,Windows 10 Pro,4.5,2499.0
1486,Alienware,17 R5,17.3,Core i7,32,Windows 10 Home,5.0,1594.95
1491,Dell,Latitude Rugged 5430 Laptop,14.0,Core i5,16,Windows 11 Pro,5.0,1659.67
1492,acer,Acer Chromebook 715,15.6,Core i3 8130U,4,Chrome OS,4.3,429.99
1493,HP,HP Pavilion Gaming 17 Laptop,17.3,Core i7,16,Windows 10 Home,4.6,2299.0
1494,Lenovo,Lenovo Thinkpad,14.0,68000,5,Windows 10,5.0,1149.0
1498,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1499,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1501,SAMSUNG,Samsung Galaxy Book Pro,15.6,Core i7,16,Windows 10 Home,4.6,1299.0
1505,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1506,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1510,Dell,Latitude 3410,14.0,Core i5-10210U,8,Windows 10 Pro,3.7,600.49
1514,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1515,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1518,Quality Refurbished Computers,E6520,15.6,Core i7-2620QM,8,Windows 7 Professional,3.4,222.88
1523,Dell,Dell Inspiron,15.6,8032,16,Windows 10,3.3,1288.88
1529,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1530,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1532,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1533,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1535,ASUS,ASUS VivoBook S 15,15.6,Ryzen 7,8,Windows 11 Home,5.0,848.88
1536,MSI,Vector GP66 12UHSO-673,15.6,Core i9,32,Windows 11 Home,4.2,2591.48
1537,Lenovo,C470-14,14.0,Core i5-10210U,8,Windows 10 Home,4.4,739.99
1552,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1553,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1558,MSI,Raider GE76,17.3,Intel Core i9,32,Windows 11 Pro,5.0,1997.1
1563,Dell,Dell Inspiron 14 5000 5406,14.0,Core i5,8,Windows 10,5.0,699.0
1570,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1571,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1577,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1578,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1586,ASUS,ASUS ZenBook,13.3,Core i7,8,Windows 10 Pro,3.8,1143.73
1588,Lenovo,P15,15.6,Core i7,16,Windows 10 Pro,3.4,1539.77
1590,Lenovo,Yoga 3 80JH0025US,14.0,Core i5,8,Windows 8.1,3.0,699.0
1591,MSI,MSI GF75,17.3,8032,8,Windows 10 Home,4.0,1599.0
1595,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1596,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1600,HP,329M8UT#ABA,14.0,AMD R Series,16,Windows 10,5.0,179.55
1606,LPT,Dell Inspiron,15.6,AMD Ryzen 7,32,Windows 10 Home,5.0,1799.0
1609,ASUS,ProArt StudioBook 17,17.0,Intel Core i7,32,Windows 10 Pro,4.5,2799.0
1613,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1614,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1617,Dell,XPS 9305 Laptop,13.3,Core i5,8,Windows 11 Home,4.0,798.94
1619,Dell,Precision 7000,15.6,Core i7 Family,32,Windows 10 Pro,3.9,1769.77
1620,acer,TMP414-51-506U,14.0,Intel Core i5,8,Windows 10 Pro,2.1,699.8
1621,Dell,Latitude 3000,15.6,Core i3,8,Windows 11 Pro,5.0,727.53
1622,hp,HP Spectre,13.3,Core i7,16,Windows 11 Home,4.4,2399.0
1623,Microsoft,DAG-00114,13.5,Core i5,8,Windows 10 Home,4.5,199.99
1630,Dell,Inspiron,15.6,AMD Ryzen 5 5500U,16,Windows 10 Home,3.9,1199.0
1632,Dell,Latitude,14.0,Core i7,16,Windows 11 Pro,1.0,1065.99
1633,Lenovo,Lenovo Thinkpad,14.0,Core i5,8,Windows 10 Pro,5.0,895.3
1637,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1638,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1640,Lenovo,T460,14.0,Core i7,8,Windows 10,4.0,449.0
1646,Lenovo,Lenovo Thinkpad,14.0,Core i5 Family,8,Windows 10 Pro,3.1,284.97
1651,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1652,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1654,HP,HP EliteBook,14.0,Core i5-3320M,4,Windows 10 Pro,4.4,109.0
1655,Lenovo,81WE00EPUS,15.6,Core i5-1035G1,8,Windows 10,4.7,545.0
1656,ASUS,VivoBook S15,15.6,Intel Core i7,16,Windows 10 Home,3.7,933.45
1660,HP,Elitebook 845 G9,14.0,Ryzen 7,64,Windows 11 Pro,1.0,1999.0
1661,HP,Spectre 14T x360,13.5,Core i7 Family,16,Windows 11 Pro,4.9,2399.0
1663,Goldengulf,GG20826,10.1,A10-7700K,2,Windows,3.5,218.86
1668,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1669,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1671,acer,CB5-132T,11.6,Celeron,4,Chrome OS,4.5,229.0
1672,Dell,Alienware,17.3,Core i7,16,Windows 10 Home,3.7,1499.95
1673,Dell,Latitude 5310 Laptop,13.3,Core i7,16,Windows 10 Pro,4.0,897.52
1678,Dell,T1CFT,15.0,Core i7,16,Windows 10 Pro (English/French/Spanish),4.0,2799.0
1679,Lenovo,Lenovo Ideapad,15.6,Core i5,8,Windows 10 Home,4.7,559.41
1680,Dell,Dell XPS,15.6,Core i7,16,Windows 10 Home,3.9,1036.82
1683,Dell,XPS9500,15.6,Core i7 Family,32,Windows 10,3.7,1779.95
1684,Microsoft,"Surface Laptop 12""",12.45,Core i5-1035G1,4,Windows 10 S,4.2,269.99
1688,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1689,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1690,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1691,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1693,MSI,Modern 14 B11MOU-1024,14.0,Core i5,8,Win 11 Multi-Home,5.0,589.99
1694,Dell,Precision,15.6,Core i7 Family,16,Windows 10 Pro,3.5,1239.81
1697,MSI,CREATORZ17046,17.0,Core i9,32,Windows 11 Pro,4.6,5499.0
1702,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1703,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1705,Dell,E7440,14.0,Core i7,8,Windows 7,3.9,188.0
1706,Dell,Inspiron,17.0,Core i7,16,Windows 11,3.1,1299.0
1707,Lenovo,Lenovo Thinkpad,14.0,Core i5,16,Windows 10 Pro,2.9,1279.99
1708,Lenovo,Lenovo Thinkpad,14.0,Core i5,8,Windows 10,3.9,138.0
1713,Lenovo,ThinkPad W540,15.6,Core i7,8,Windows 7 Professional,3.4,599.95
1714,Lenovo,Lenovo Ideapad,15.6,Celeron,6,Windows 10 Home,4.1,528.18
1715,Dell,Dell Latitude 9420,14.0,Core i7,16,Windows 10 Pro,5.0,779.62
1721,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1722,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1726,acer,CB514-1WT-33MW,14.0,Core I3 1115G4,8,Chrome OS,5.0,719.0
1731,Lenovo,ThinkPad X1 Carbon Gen 9,14.0,Core i5 Family,16,Windows 11 Pro,5.0,1869.0
1734,HP,HPI-1Y5Y4UT#ABA,15.6,Core i7,32,Windows 10 Pro,5.0,2799.0
1735,Dell,XPS 15 7590,15.6,Core i7 Family,4,Windows 10,3.4,1999.0
1737,HP,369K6UT#ABA,13.3,Core i5,16,Windows 10 Pro,1.0,1482.13
1741,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1742,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1744,MSI,Summit E14Flip A12MT-016,14.0,Core i7,16,Windows 10,3.8,1334.95
1746,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1747,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1750,Dell,Latitude 7330 Laptop,13.3,Core i7,16,Windows 11 Pro,5.0,994.79
1763,Lenovo,81F5018EUS,15.6,Core i3,4,Windows 10,4.4,247.49
1770,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1771,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1773,Dell,XPS 15 7590,15.6,Core i7 Family,4,Windows 10,4.1,1999.0
1776,Dell,G15 5525 Laptop,15.6,AMD Ryzen 7,16,Windows 11 Home,1.0,1159.0
1777,Dell,Latitude 5500,15.6,Core i7,16,Windows 10 Pro,5.0,1597.77
1788,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1789,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1791,HP,Intel Core i7,15.6,Core i7,8,Windows 11,4.3,902.98
1796,Dell,Alienware X17 R2 Laptop,17.3,Core i9,64,Windows 11 Home,2.0,3274.46
1797,Dell,XPS,15.6,Corei7-10750H,64,Windows 11,2.8,1599.0
1799,Lenovo,ThinkPad L15 Gen 3,15.6,Core i5,8,Windows 11,5.0,1090.57
1801,Dell,Latitude 7320 Detachable 2-in-1,13.0,Core i7,16,Windows 11 Home,5.0,1031.79
1803,Lenovo,1300-000-180,15.6,1.2GHz Cortex A8 Processor,16,Windows 10 Pro,3.3,719.99
1807,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1808,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1810,Dell,Dell Latitude,14.0,Core i5,8,Windows 7,4.0,529.95
1811,Dell,XV1P3,14.0,Intel Core i7,16,Windows 10 Pro,4.0,1472.99
1815,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1816,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1818,MSI,Katana GF66 11UE-031,15.6,Core i7,16,Windows 10,5.0,1289.89
1822,MSI,Pulse GL66 12UEK-070,15.6,Core i7,16,Windows 11 Home,3.4,1113.87
1825,lenovo,Lenovo Ideapad,15.6,AMD A Series,8,Windows 10,3.9,599.99
1836,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1837,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1839,ASUS,VivoBook S15,15.6,Intel Core i5-1135G7,8,Windows 11,5.0,718.46
1842,Latitude,Latitude E6410,14.0,Core i3-520M,8,Windows 7 Professional,3.4,111.05
1844,SAMSUNG,Samsung Chromebook,11.6,Celeron,2,Chrome OS,4.2,149.95
1849,Dell,Dell 5000,16.0,Ryzen 5,16,Windows 10 Pro,3.0,708.99
1850,MSI,Prestige 15 A10SC-010,15.6,Intel Core i7,32,Windows 10 Pro,3.8,2399.0
1854,Dell,Latitude,14.0,Intel Core i5 1145G7,32,Windows 11 Pro,5.0,1590.99
1858,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1859,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1867,ASUS,ASUS VivoBook,14.0,Celeron,4,Windows 10 Home,3.5,325.0
1870,Dell,Vostro 15 5000 5510,15.6,Intel Core i7,16,Windows 10 Pro,4.4,1499.0
1874,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1875,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1876,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1877,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1879,Dell,Precision 5560 Laptop,15.6,Core i7,64,Windows 10 Pro,2.6,1729.95
1880,LG,17Z90Q-K.AAS6U1,17.0,Core i5,16,Windows 11 Home,4.0,1396.99
1882,HP,16-f0013dx,15.6,Core i7,16,Windows 10 Home,3.9,2399.0
1889,Lenovo,Lenovo Ideapad,15.6,Core i5,8,Windows 10,3.0,599.0
1890,ASUS,Asus ZenBook 13,13.3,Intel Core i7,8,Windows 10 Pro,4.4,1399.0
1893,Dell,Latitude 7420,14.0,Core i5,16,Windows 10 Pro,5.0,1748.04
1894,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1895,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1897,Dell,Latitude 7420,14.0,Core i5,16,Windows 10 Pro,5.0,1748.04
1899,Dell,M15,15.6,Ryzen 9,64,Windows 11,4.2,2699.0
1901,Panasonic,CF-31,13.1,Core i5,4,Windows 8,5.0,399.99
1906,SAMSUNG,Samsung Chromebook 11.6,11.6,Intel Atom,4,Chrome OS,4.3,298.0
1908,Dell,G7500-7194BLK-PUS,15.6,Corei7-10750H,16,Windows 10 Home,4.4,2499.0
1914,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1915,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1917,ASUS,ASUS VivoBook 15,15.6,Intel Core i7,8,Windows 11,4.6,772.2
1918,HP,HP Pavilion,15.6,Core i5,8,Windows 11,5.0,849.99
1922,Apple,MacBook,12.0,Intel Core i3,8,Mac OS,4.0,779.95
1927,Lenovo,Lenovo ThinkPad,14.0,Core i5 Family,8,Windows 10 Pro,4.6,419.0
1932,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1933,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1935,acer,Aspire,15.6,AMD R Series,8,Windows 10,4.4,449.0
1937,Alienware,m15 R3,15.6,Core i7,16,Windows 10,3.8,1329.95
1942,Lenovo,ThinkPad T470,14.0,Core i5 Family,8,Windows 10 Pro,5.0,295.97
1944,Dell,Precision 3470 Laptop,14.0,Core i7,32,Windows 11 Pro,5.0,1507.16
1945,Dell,Dell XPS 17 9710,17.0,Core i7,64,Windows 11 Pro,5.0,2470.99
1949,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1950,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1956,Dell,Dell Latitude,14.0,8032,16,Windows 10 Pro,5.0,1599.0
1957,HP,Spectre x360 15t 9th OLED Pro McAfee,15.6,Core i7,16,Windows 10 Pro,4.1,2199.0
1963,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1964,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1966,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1967,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1970,acer,Acer Chromebook,14.0,Celeron,32,Chrome OS,3.8,359.92
1971,MSI,WF76 11UI-400,17.3,Core i7 Family,16,Windows 10 Pro,5.0,1799.0
1973,Dell,Precision 7750,17.3,Core i7,32,Windows 10 Pro,3.6,1778.99
1979,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1980,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1983,ASUS,VivoBook S15,15.6,Intel Core i5-1135G7,8,Windows 11,3.0,723.16
1985,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1986,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1989,Dell,Latitude,15.6,Core i5 Family,64,Windows 11 Pro,4.0,1085.99
1990,Latitude,Latitude,13.3,Core i5-2520M,8,Windows 7 Professional,3.5,289.95
1991,Dell,Latitude,14.0,Core i7 Family,32,Windows 11 Pro,2.3,1295.03
1992,ASUS,ASUS Laptop L410,14.0,Pentium,4,Windows 10 S,4.1,319.99
1993,Dell,i5400-5760GRY-PUS,14.0,Core i7,12,Windows 10 Home,4.3,899.0
1997,Dell,XPS,15.6,Core i9,4,Windows 11,2.0,3271.99
1998,Dell,3540,15.6,Core i5 Family,8,Windows 10 Pro,4.5,1099.81
2005,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2006,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2009,Dell,Vostro 7620 Laptop,16.0,Core i7,16,Windows 11 Pro,1.0,1166.97
2010,Dell,G15,15.6,AMD R Series,32,Windows 10 Home,4.1,1429.99
2011,Lenovo,Lenovo 15.6,15.6,AMD A Series,8,Windows 10,4.1,499.0
2012,Lenovo,ThinkPad L480,14.0,Core i5 8250U,8,Windows 10 Pro,4.0,699.99
2013,Dell,XPS9300-7909SLV-PUS,13.4,Core i7-1065G7,16,Windows 10 Pro,4.1,1899.0
2017,acer,Chromebook Enterprise Spin 514 CP514-3WH,14.0,Ryzen 7,16,Chrome OS,5.0,999.99
2019,HP,Pavilion,15.6,Pentium,8,Windows 11,4.4,439.0
2020,Lenovo,Lenovo Ideapad,11.6,AMD A Series,4,Chrome OS,4.2,244.97
2022,Lenovo,Lenovo Yoga 720,13.3,Core i5,8,Windows 10 Home,3.8,536.89
2026,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2027,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2031,acer,Acer Chromebook,11.6,Celeron N4000,4,Chrome OS,5.0,246.39
2032,ASUS,ZenBook Flip 13,13.3,Intel Core i7,16,Windows 10 Pro,4.0,769.99
2038,Dell,Latitude 5420,14.0,Core i5,16,Windows 10 Pro,1.0,610.68
2039,acer,PH315-53-71QX,15.6,Intel Core i7,16,Windows 10 Home,4.4,2299.0
2040,Dell,Inspiron,14.0,Core i7 Family,64,Windows 11 Home,4.0,947.06
2041,Lenovo,AMD Athlon,14.0,AMD R Series,4,Windows 11 Home,4.6,248.0
